id,product_id,return_date,quantity_returned,reason,created_at,store_id
RET-0000001,PRD-0001,2024-05-14,3,Near expiry,2024-05-14T09:10:00,MUM-001
RET-0000002,PRD-0001,2024-06-28,3,Near expiry,2024-06-28T12:48:00,MUM-001
RET-0000003,PRD-0001,2024-12-26,1,Near expiry,2024-12-26T15:27:00,MUM-001
RET-0000004,PRD-0002,2024-02-12,1,Wrong product,2024-02-12T13:54:00,MUM-001
RET-0000005,PRD-0002,2024-02-29,1,Damaged packaging,2024-02-29T18:35:00,MUM-001
RET-0000006,PRD-0002,2024-09-23,1,Damaged packaging,2024-09-23T12:39:00,MUM-001
RET-0000007,PRD-0002,2024-10-11,2,Wrong product,2024-10-11T18:38:00,MUM-001
RET-0000008,PRD-0002,2024-10-27,3,Damaged packaging,2024-10-27T11:56:00,MUM-001
RET-0000009,PRD-0003,2024-01-16,2,Wrong product,2024-01-16T12:25:00,MUM-001
RET-0000010,PRD-0003,2024-01-28,1,Wrong product,2024-01-28T18:12:00,MUM-001
RET-0000011,PRD-0003,2024-01-28,1,Near expiry,2024-01-28T14:00:00,MUM-001
RET-0000012,PRD-0003,2024-05-19,2,Quality issue,2024-05-19T18:53:00,MUM-001
RET-0000013,PRD-0003,2024-06-08,1,Wrong product,2024-06-08T09:57:00,MUM-001
RET-0000014,PRD-0003,2024-08-06,1,Damaged packaging,2024-08-06T20:13:00,MUM-001
RET-0000015,PRD-0003,2024-09-22,1,Near expiry,2024-09-22T16:00:00,MUM-001
RET-0000016,PRD-0003,2024-09-29,2,Quality issue,2024-09-29T10:25:00,MUM-001
RET-0000017,PRD-0003,2024-10-17,1,Damaged packaging,2024-10-17T20:00:00,MUM-001
RET-0000018,PRD-0003,2024-12-31,1,Damaged packaging,2024-12-31T12:00:00,MUM-001
RET-0000019,PRD-0004,2024-04-17,1,Near expiry,2024-04-17T19:13:00,MUM-001
RET-0000020,PRD-0004,2024-09-05,1,Quality issue,2024-09-05T20:07:00,MUM-001
RET-0000021,PRD-0004,2024-10-18,1,Damaged packaging,2024-10-18T13:54:00,MUM-001
RET-0000022,PRD-0004,2024-10-12,2,Wrong product,2024-10-12T19:19:00,MUM-001
RET-0000023,PRD-0004,2024-10-29,1,Quality issue,2024-10-29T09:23:00,MUM-001
RET-0000024,PRD-0004,2024-11-20,3,Near expiry,2024-11-20T15:32:00,MUM-001
RET-0000025,PRD-0005,2024-02-06,3,Wrong product,2024-02-06T09:16:00,MUM-001
RET-0000026,PRD-0005,2024-03-04,3,Damaged packaging,2024-03-04T20:12:00,MUM-001
RET-0000027,PRD-0005,2024-03-31,1,Near expiry,2024-03-31T09:40:00,MUM-001
RET-0000028,PRD-0005,2024-04-19,2,Near expiry,2024-04-19T18:24:00,MUM-001
RET-0000029,PRD-0005,2024-05-03,3,Near expiry,2024-05-03T10:27:00,MUM-001
RET-0000030,PRD-0005,2024-07-07,3,Quality issue,2024-07-07T19:19:00,MUM-001
RET-0000031,PRD-0005,2024-07-04,3,Damaged packaging,2024-07-04T19:55:00,MUM-001
RET-0000032,PRD-0005,2024-08-20,3,Wrong product,2024-08-20T10:33:00,MUM-001
RET-0000033,PRD-0005,2024-08-30,2,Quality issue,2024-08-30T16:07:00,MUM-001
RET-0000034,PRD-0005,2024-10-16,1,Wrong product,2024-10-16T13:45:00,MUM-001
RET-0000035,PRD-0005,2024-10-30,3,Damaged packaging,2024-10-30T16:22:00,MUM-001
RET-0000036,PRD-0006,2024-02-05,3,Wrong product,2024-02-05T16:43:00,MUM-001
RET-0000037,PRD-0006,2024-02-11,3,Near expiry,2024-02-11T11:43:00,MUM-001
RET-0000038,PRD-0006,2024-03-29,2,Wrong product,2024-03-29T19:05:00,MUM-001
RET-0000039,PRD-0006,2024-04-20,3,Damaged packaging,2024-04-20T15:54:00,MUM-001
RET-0000040,PRD-0006,2024-06-27,2,Near expiry,2024-06-27T18:59:00,MUM-001
RET-0000041,PRD-0006,2024-10-05,2,Damaged packaging,2024-10-05T18:38:00,MUM-001
RET-0000042,PRD-0006,2024-12-16,2,Near expiry,2024-12-16T12:37:00,MUM-001
RET-0000043,PRD-0007,2024-04-17,1,Damaged packaging,2024-04-17T19:02:00,MUM-001
RET-0000044,PRD-0007,2024-04-22,1,Damaged packaging,2024-04-22T13:20:00,MUM-001
RET-0000045,PRD-0007,2024-05-18,2,Near expiry,2024-05-18T11:51:00,MUM-001
RET-0000046,PRD-0007,2024-06-14,2,Quality issue,2024-06-14T14:14:00,MUM-001
RET-0000047,PRD-0007,2024-06-29,1,Wrong product,2024-06-29T11:11:00,MUM-001
